city,year,weekofyear,total_cases
sj,2011,30,35
sj,2011,31,40
sj,2011,32,44
sj,2011,33,48
sj,2011,34,52
sj,2011,35,53
sj,2011,36,51
sj,2011,37,50
sj,2011,38,50
sj,2011,39,50
sj,2011,40,50
sj,2011,41,51
sj,2011,42,50
sj,2011,43,49
sj,2011,44,48
sj,2011,45,49
sj,2011,46,48
sj,2011,47,47
sj,2011,48,46
sj,2011,49,45
sj,2011,50,43
sj,2011,51,42
sj,2012,52,39
sj,2012,1,35
sj,2012,2,33
sj,2012,3,31
sj,2012,4,30
sj,2012,5,28
sj,2012,6,25
sj,2012,7,23
sj,2012,8,21
sj,2012,9,20
sj,2012,10,18
sj,2012,11,17
sj,2012,12,15
sj,2012,13,14
sj,2012,14,13
sj,2012,15,12
sj,2012,16,12
sj,2012,17,12
sj,2012,18,12
sj,2012,19,12
sj,2012,20,13
sj,2012,21,13
sj,2012,22,15
sj,2012,23,17
sj,2012,24,19
sj,2012,25,21
sj,2012,26,25
sj,2012,27,29
sj,2012,28,33
sj,2012,29,37
sj,2012,30,42
sj,2012,31,48
sj,2012,32,54
sj,2012,33,60
sj,2012,34,64
sj,2012,35,67
sj,2012,36,69
sj,2012,37,72
sj,2012,38,78
sj,2012,39,86
sj,2012,40,98
sj,2012,41,111
sj,2012,42,123
sj,2012,43,126
sj,2012,44,123
sj,2012,45,120
sj,2012,46,114
sj,2012,47,108
sj,2012,48,100
sj,2012,49,92
sj,2012,50,82
sj,2012,51,70
sj,2013,1,61
sj,2013,2,55
sj,2013,3,50
sj,2013,4,44
sj,2013,5,39
sj,2013,6,36
sj,2013,7,32
sj,2013,8,29
sj,2013,9,26
sj,2013,10,24
sj,2013,11,22
sj,2013,12,20
sj,2013,13,17
sj,2013,14,15
sj,2013,15,13
sj,2013,16,13
sj,2013,17,13
iq,2010,26,3
iq,2010,27,3
iq,2010,28,3
iq,2010,29,3
iq,2010,30,3
iq,2010,31,3
iq,2010,32,2
iq,2010,33,3
iq,2010,34,2
iq,2010,35,2
iq,2010,36,3
iq,2010,37,3
iq,2010,38,3
iq,2010,39,3
iq,2010,40,3
iq,2010,41,4
iq,2010,42,5
iq,2010,43,5
iq,2010,44,6
iq,2010,45,6
iq,2010,46,6
iq,2010,47,6
iq,2010,48,7
iq,2010,49,7
iq,2010,50,7
iq,2010,51,7
iq,2011,52,7
iq,2011,1,7
iq,2011,2,7
iq,2011,3,7
iq,2011,4,6
iq,2011,5,6
iq,2011,6,6
iq,2011,7,6
iq,2011,8,6
iq,2011,9,6
iq,2011,10,5
iq,2011,11,4
iq,2011,12,3
iq,2011,13,3
iq,2011,14,3
iq,2011,15,3
iq,2011,16,3
iq,2011,17,3
iq,2011,18,3
iq,2011,19,3
iq,2011,20,3
iq,2011,21,3
iq,2011,22,2
iq,2011,23,3
iq,2011,24,3
iq,2011,25,2
iq,2011,26,2
iq,2011,27,2
iq,2011,28,2
iq,2011,29,3
iq,2011,30,3
iq,2011,31,4
iq,2011,32,4
iq,2011,33,4
iq,2011,34,4
iq,2011,35,4
iq,2011,36,4
iq,2011,37,4
iq,2011,38,4
iq,2011,39,3
iq,2011,40,3
iq,2011,41,4
iq,2011,42,5
iq,2011,43,5
iq,2011,44,6
iq,2011,45,6
iq,2011,46,6
iq,2011,47,6
iq,2011,48,6
iq,2011,49,7
iq,2011,50,7
iq,2011,51,7
iq,2012,52,7
iq,2012,1,7
iq,2012,2,7
iq,2012,3,7
iq,2012,4,7
iq,2012,5,7
iq,2012,6,7
iq,2012,7,7
iq,2012,8,7
iq,2012,9,6
iq,2012,10,5
iq,2012,11,4
iq,2012,12,3
iq,2012,13,3
iq,2012,14,3
iq,2012,15,3
iq,2012,16,3
iq,2012,17,3
iq,2012,18,3
iq,2012,19,3
iq,2012,20,3
iq,2012,21,3
iq,2012,22,3
iq,2012,23,3
iq,2012,24,3
iq,2012,25,3
iq,2012,26,3
iq,2012,27,2
iq,2012,28,2
iq,2012,29,2
iq,2012,30,2
iq,2012,31,2
iq,2012,32,2
iq,2012,33,2
iq,2012,34,2
iq,2012,35,2
iq,2012,36,2
iq,2012,37,3
iq,2012,38,3
iq,2012,39,3
iq,2012,40,3
iq,2012,41,4
iq,2012,42,5
iq,2012,43,5
iq,2012,44,6
iq,2012,45,6
iq,2012,46,7
iq,2012,47,7
iq,2012,48,7
iq,2012,49,7
iq,2012,50,7
iq,2012,51,7
iq,2013,1,7
iq,2013,2,7
iq,2013,3,7
iq,2013,4,7
iq,2013,5,7
iq,2013,6,7
iq,2013,7,7
iq,2013,8,7
iq,2013,9,6
iq,2013,10,5
iq,2013,11,4
iq,2013,12,3
iq,2013,13,3
iq,2013,14,3
iq,2013,15,3
iq,2013,16,3
iq,2013,17,3
iq,2013,18,3
iq,2013,19,3
iq,2013,20,3
iq,2013,21,3
iq,2013,22,3
iq,2013,23,3
iq,2013,24,3
iq,2013,25,3
iq,2013,26,3
